Title,Region,Region Name,Region Parent Name,Price,Bedrooms,Bathrooms,Property Size,Furnishing,Is Boost
2bdrm Block of Flats in Ago Palace for sale,"Isolo, Ago Palace",Ago Palace,Isolo,270000000,2,2,600.0,Unfurnished,diamond
5bdrm Duplex in Ikota for sale,"Lekki, Ikota",Ikota,Lekki,650000000,5,5,500.0,Unfurnished,diamond
5bdrm House in Ikota for sale,"Lekki, Ikota",Ikota,Lekki,600000000,5,5,550.0,Unfurnished,diamond
3bdrm Apartment in Ago Palace for sale,"Isolo, Ago Palace",Ago Palace,Isolo,90000000,3,3,620.0,Unfurnished,diamond
6bdrm Duplex in GRA Phase 1 for sale,"Magodo, GRA Phase 1",GRA Phase 1,Magodo,450000000,6,6,300.0,Unfurnished,diamond
4bdrm Duplex in Ago Palace for sale,"Isolo, Ago Palace",Ago Palace,Isolo,260000000,4,4,220.0,Unfurnished,diamond
4bdrm Bungalow in Gberigbe for sale,"Ikorodu, Gberigbe",Gberigbe,Ikorodu,22000000,4,4,638.0,Unfurnished,diamond
5bdrm Duplex in Abraham Adesanya Estate for sale,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Ajah,260000000,5,5,500.0,Unfurnished,diamond
4bdrm Duplex in Chevron for sale,"Lekki, Chevron",Chevron,Lekki,200000000,4,4,1000.0,Unfurnished,diamond
2bdrm Apartment in Lekki Phase 1 for sale,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,310000000,2,2,900.0,Unfurnished,diamond
3bdrm Apartment in Ago Palace for sale,"Isolo, Ago Palace",Ago Palace,Isolo,240000000,3,3,850.0,Unfurnished,diamond
Furnished 4bdrm Apartment for sale,"Victoria Island, Victoria Island Extension",Victoria Island Extension,Victoria Island,680000000,4,4,2200.0,Furnished,False
5bdrm Duplex in Life Camp for sale,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,255000000,5,6,450.0,Unfurnished,False
Furnished 4bdrm Duplex in Private Estate for sale,"Ajah, Oke Ira / Ajah",Oke Ira / Ajah,Ajah,80000000,4,4,500.0,Furnished,diamond
Furnished 2bdrm Block of Flats in Gaduwa By Ebeano for sale,"Abuja (FCT), Gaduwa",Gaduwa,Abuja (FCT),95000000,2,2,150.0,Furnished,premium
5bdrm Duplex in Mabushi for sale,"Abuja (FCT), Mabushi",Mabushi,Abuja (FCT),380000000,5,5,250.0,Unfurnished,premium
"3bdrm Bungalow in El Salem Estate, FHA for sale","Lugbe District, FHA",FHA,Lugbe District,95000000,3,3,300.0,Unfurnished,False
"5bdrm House in Engr Lere Adigun Gra, Basorun for sale","Ibadan, Basorun",Basorun,Ibadan,420000000,5,5,500.0,semi-furnished,premium
